"","iso","ghg_ambition_n","new_pm_n","change_cond","cw_2030","year1","year2","gdp_pc","polyarchy","participdem","dem_change","dem_change_d","polity","v2x_frassoc_thick","v2x_cspart","v2cscnsult","v2csreprss","stake_consult","consult_index","qog_2020","first_soc","last_soc","pol_change","right_change","first","last","ideo_change","any_elect","any_change","gdp_growth","long_gdp_growth","unemployment","year","co2pc","gain","pre_rents","post_rents","change_rents","pre_fossil","post_fossil","change_fossil","pre_affect","post_affect","change_affect","pre_cfinance","post_cfinance","change_cfinance","paris_support","protect_env","region","log_gdp_pc"
"96","SGP",0,0,0,0,2016,2020,55646.6187469505,0.416,0.108,-0.025,0,-2,0.576,0.357,-0.427,0.196,0,-1.38414466741154,0.8888889,0,0,0,0,0,0,"no change",0,0,0.192150836011294,3.01247744349737,3.09999990463257,2018,8.39913483236136,0.538326678694068,0.000568356936534602,0.000308718996869933,-0.000259637939664669,0,0,1,0,0,1,0,0,0,NA,NA,7,10.9267765955936
"97","SLB",1,0,0,1,2016,2021,2167.11992829078,0.587,0.334,0.039,1,8,0.818,0.669,0.522,2.076,0,-0.998356520267255,NA,0.2,0.25,1,1,0,0,"no change",1,0,-6.69331588516656,-1.35921200161332,NA,2018,0.566740598232995,0.557079259809077,11.6335033686927,19.248168649281,7.61466528058832,0,0,1,0.0226441388759663,0.000382932836643915,0.0584894566851675,0.000746737586456471,0.00469446306834464,0.00394772548188817,NA,NA,9,7.6811543430095
"98","SOM",NA,1,0,0,2016,2021,293.455171889408,0.172,0.094,-0.00899999999999998,0,5,0.577,0.654,0.731,1.107,1,0.196814346544339,0.055555556,0,0,0,0,0,0,"no change",1,0,-0.462294726390766,5.03920506752881,NA,2018,0.0459747904898814,0.525994699669933,13.4864824654653,NA,NA,0,0,1,0.00827023579258472,0.0223302493794756,2.51668349128051,0.00031955552068899,0.000848629321316294,0.000529073800627304,NA,NA,4,5.68172489128048
"99","ZAF",1,0,0,1,2016,2021,5734.63342207587,0.75,0.485,-0.035,0,9,0.895,0.819,0.803,1.537,1,0.255353327775928,0.46527779,0.667,0.667,0,0,3,3,"no change",1,0,-7.61587550157316,-1.19609144119572,24.3400001525879,2018,7.4966448945296,0.430575886474266,4.91156530929811,3.66999275099431,-1.24157255830379,2.98995301535445,1.67408067564474,0.560049143883404,0.00028179840043418,0.0000393147228901007,0.81082541727159,0.000124614542716127,0.0000916085418437319,-0.0000330060008723953,0.56,NA,4,8.65427910809174
"100","KOR",1,1,0,1,2016,2021,28732.2310762599,0.734,0.482,0.127,1,8,0.842,0.779,0.907,0.717,1,0.339909633999333,0.74305552,0,0.25,1,1,1,0,"center",1,1,-0.988631819016462,1.8889146004307,3.9300000667572,2018,12.224591362122,0.494061457637146,0.028495296881135,0.0405721735172854,0.0120768766361504,0.00831770315038659,0.00262329863803711,0.388861780586643,0.000468930060777157,0.000342520607235015,0.913944539010071,0,0,0,0.891542288557214,NA,6,10.2657748056328
"101","SSD",0,1,0,0,2021,2021,1119.65143716565,0.136,0.046,0,1,NA,0.215,0.296,-0.624,-0.609,1,-0.904856758577912,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,2018,0.125729733551362,NA,33.1008950856462,NA,NA,14.1886340215995,NA,NA,0.0365470057084397,0,0.0266332822320162,0.000101282619110889,0,-0.000101282619110889,NA,NA,4,7.02077269903475
"102","LKA",1,1,0,1,2016,2021,3843.78067184442,0.62,0.375,-0.047,0,6,0.805,0.848,1.78,1.686,1,1.04969478143234,0.47222221,0.2,0,1,0,0,0,"no change",1,0,-4.0794090524288,1.63141197879588,5.19999980926514,2018,0.998154130133826,0.499465542027125,0.240057158313522,0.0919084748332003,-0.148148683480322,0,0,1,0.0112976035059181,0.00945257344855556,0.849968324602869,0.000230595296088442,0.000227510576369136,-0.00000308471971930584,NA,NA,8,8.25421171118983
"103","SDN",1,1,0,0,2017,2021,2019.49887905692,0.269,0.095,-0.085,0,-4,0.387,0.272,-0.294,-1.424,1,-0.636553094599799,0.25,0.125,0.143,1,1,0,-999,NA,0,1,-5.90675590365227,-4.48984342796072,NA,2018,0.483235877575013,0.541678811300301,7.70388800623927,6.43053724768806,-1.27335075855121,7.54287803363326,2.44683027443859,0.324479036315977,0.0033030362284132,0.00390474507331251,1.13983355309123,0.0000118518791711101,0.0000180335681252079,0.00000618168895409775,NA,NA,4,7.61060467994361
"104","SUR",1,1,1,0,2019,2019,9168.23715664009,0.766,0.483,0,1,NA,0.879,0.772,0.891,1.935,0,-0.84835038086131,0.44907406,NA,NA,0,NA,NA,NA,NA,0,0,3.94868880728451,0.567009681821375,NA,2018,3.61119261372218,0.418220178645075,15.2675656846033,7.72981945291182,-7.53774623169144,6.03495911316572,2.81867823637883,0.467146676031736,0.0155346828845508,0,0.0604789343093086,0.000164936927594068,0.00111488387926824,0.000949946951674175,NA,NA,10,9.12350030649082
"105","CHE",0,0,0,0,2017,2021,84776.1421659748,0.898,0.8,-0.013,0,10,0.922,0.971,3.484,2.812,1,2.4351173372466,0.8888889,0.667,1,1,1,-999,-999,"no change",1,0,-3.08540092497348,0.491609144873692,4.82000017166138,2018,4.40199104356902,0.308516918238188,0.0183173350513251,0.0106659180510576,-0.00765141700026748,0,0,1,0.0000265721411877119,0.000000423044431665165,0.974527755325804,0,0,0,0.70183611948479,NA,5,11.3477694398134
