"","iso","ghg_ambition_n","new_pm_n","change_cond","cw_2030","year1","year2","gdp_pc","polyarchy","participdem","dem_change","dem_change_d","polity","v2x_frassoc_thick","v2x_cspart","v2cscnsult","v2csreprss","stake_consult","consult_index","qog_2020","first_soc","last_soc","pol_change","right_change","first","last","ideo_change","any_elect","any_change","gdp_growth","long_gdp_growth","unemployment","year","co2pc","gain","pre_rents","post_rents","change_rents","pre_fossil","post_fossil","change_fossil","pre_affect","post_affect","change_affect","pre_cfinance","post_cfinance","change_cfinance","paris_support","protect_env","region","log_gdp_pc"
"14","BTN",0,1,0,0,2017,2021,2752.63017233678,0.567,0.36,0.00600000000000001,1,5,0.632,0.774,1.585,1.203,1,0.891151707263456,NA,0.167,0.143,1,0,0,0,"no change",0,0,-11.0690288043469,4.54973728489323,NA,2018,1.82927799192997,0.484918873044531,4.50186997092679,2.51789909144879,-1.983970879478,0.113044070005666,0,0.00876854009112719,0.0125022301239403,0,0.0740618394754611,0.001843989146514,0.000662323107692404,-0.00118166603882159,NA,NA,8,7.92031215988068
"15","BIH",1,0,0,1,2017,2021,4727.27633310331,0.556,0.337,-0.03,0,-66,0.828,0.671,0.374,1.868,1,-0.0934414353956191,NA,0,0,0,0,0,0,"no change",1,0,-2.60143470404519,3.5453373948871,15.8699998855591,2018,6.78113160660171,0.357424308530784,1.57963898397035,1.14377046507292,-0.435868518897432,0.760478573451893,0.208003381784976,0.274470469782929,0.0173087962595798,0.00120049128901326,0.12018765503832,0.000744568894062611,0.000845528275484238,0.000100959381421627,NA,NA,1,8.46110448753676
"16","BRA",0,1,0,0,2016,2020,8814.00141787464,0.808,0.549,-0.13,0,8,0.917,0.813,1.232,2.103,0,-0.709726821139285,0.4861111,0.182,0,1,0,3,1,"right",1,1,0.651853445818901,0.988960032623851,12.0500001907349,2018,2.04187419904738,0.501336214395501,2.59649266972444,3.13851966004433,0.542026990319886,1.76762295984856,1.26690250769944,0.716886830310063,0.000793484416820298,0.0048208762522046,3.24556834596006,0.0000539704741222295,0.0000958112698149152,0.0000418407956926857,0.88,0.543132803632236,2,9.08409680626811
"17","BFA",1,1,0,1,2016,2021,653.32726813947,0.725,0.445,-0.0609999999999999,0,6,0.837,0.919,2.908,1.641,1,1.96680548739389,0.41666666,0.571,0.8,1,1,2,2,"no change",1,0,-0.907160523079824,2.72407212531654,NA,2018,0.21618648458803,0.528877253582147,9.03002432545789,9.4128931594364,0.382868833978502,0,0,1,0.00177090689973458,0.000478436716222438,0.533556979617054,0.000538166002536359,0.000940738405519359,0.000402572402983,0.864,NA,4,6.48207818005337
"18","BDI",0,1,0,1,2018,2021,305.549646023245,0.157,0.151,0.027,1,-1,0.142,0.482,0.103,-1.849,1,-0.313775656420069,NA,0.167,0,1,0,0,0,"no change",1,0,-2.74070846256809,-1.29476823572824,NA,2018,0.0527946300523678,0.522315286660178,21.9836547777539,10.2669872930148,-11.7166674847391,0,0,1,0.00080143779247575,0.000783596458016459,0.990096058529575,0.00242152625950732,0.00162775450576634,-0.000793771753740974,NA,NA,4,5.72211227284981
"19","CPV",NA,1,0,0,2017,2021,3043.03138156811,0.774,0.475,-0.027,0,10,0.91,0.711,0.97,2.886,1,0.391131242576972,NA,0,0,0,0,2,2,"no change",0,0,-15.7109984705467,4.48183015631996,NA,2018,1.14020052817031,0.385477524857862,0.568975589691867,0.465169048843073,-0.103806540848793,0,0,1,0.000154109483486655,0,0.866468921976901,0.00194667564424414,0.000512715855108825,-0.00143395978913532,NA,NA,4,8.02060946255103
"20","KHM",1,0,0,0,2017,2020,1162.90499489448,0.232,0.154,-0.037,0,-4,0.27,0.438,-0.547,-1.003,1,-0.842252570316353,NA,0,0,0,0,3,3,"no change",1,0,5.51680828875165,5.87938583851239,0.5,2018,0.686777894736518,0.393904762199011,3.6655618913001,1.16523617536798,-2.50032571593211,0,0.000986289110404542,1.98628911040454,0.0283947167057534,0.0120270323291253,0.443175978170781,0.000378652764133784,0.000544392047627233,0.000165739283493449,NA,NA,7,7.05867645949528
"21","CMR",1,1,1,1,2016,2021,1327.50256128813,0.33,0.138,-0.031,0,-4,0.513,0.558,-0.09,-0.894,1,-0.470692647776966,0.31944445,0.333,0.333,0,0,0,0,"no change",1,0,-2.04245466490876,0.835333750899835,NA,2018,0.34184290843119,0.462496237701737,7.76221906062548,6.16371416664516,-1.59850489398033,4.63210727113454,2.29607033662573,0.495794766276418,0.000606458406805766,0.000253214666922622,0.780110248490328,0.000160103697489972,0.000490576276362764,0.000330472578872792,NA,NA,4,7.19105468252149
"22","CAN",1,1,0,1,2016,2021,43596.1355365546,0.841,0.593,0.016,1,10,0.867,0.929,1.928,2.048,1,1.17002490951949,0.9050926,0,0.25,1,1,3,3,"no change",1,0,-6.31922236990395,0.426917853285573,9.46000003814697,2018,15.4970252672198,0.433493772078883,2.7199452690187,1.51799288163198,-1.20195238738672,1.41006106517314,1.03525013349673,0.734376533427757,0.000173671259197979,0.000436344371061221,1.22380467256456,0,0,0,0.876,0.612493777999005,5,10.6827237909262
"23","TCD",0,1,0,0,2017,2021,776.019752284262,0.263,0.131,-0.054,0,-2,0.434,0.569,-0.864,-0.758,1,-1.09998669601654,NA,0.2,0,1,0,0,0,"no change",1,1,-3.83567515256786,0.209664512309331,NA,2018,0.0691315979407054,0.540632372498568,18.6002096225884,22.4087888273113,3.80857920472297,17.0195556584807,13.2851325284128,0.780593348125675,0.00599758109970176,0.000379562254630157,0.197148448152885,0.000093261748726404,0.000112164568593743,0.0000189028198673386,NA,NA,4,6.65417797383384
"24","CHL",1,0,1,1,2017,2020,13574.1692377497,0.892,0.6,-0.0570000000000001,0,10,0.915,0.811,1.792,2.782,0,-0.482075227460886,0.69444448,0.429,0,1,0,NA,NA,"right",1,0,-0.245035756890886,2.28112103495536,7.26999998092651,2018,4.6248722447118,0.384224730254937,7.44329720673951,4.47287298185513,-2.97042422488437,0.071287278027924,0.0276581670325647,0.39644827989642,0.00158433788291288,0.0000177685404232316,0.393821778163184,0.0000705634686285688,0.0000349435306046396,-0.0000356199380239292,NA,0.538,2,9.51592394497364
"25","CHN",1,1,0,1,2016,2021,8066.94263493206,0.081,0.04,-0.003,0,-7,0.04,0.354,0.192,-1.319,0,-1.13250835225631,0.47222221,1,1,0,0,3,3,"no change",0,0,2.11652289256483,5.57453312716906,NA,2018,7.35226268214092,0.448468640500951,4.13912762150914,1.27563107117137,-2.86349655033777,2.91508292679207,0.771496253295228,0.26490887697252,0.0355671467371918,0.00291388008472179,0.10703269010434,0,0,0,0.846613545816733,0.680171277997365,6,8.99552983383348
"26","COL",1,1,1,1,2018,2020,6175.87602970259,0.678,0.477,-0.026,0,7,0.898,0.788,1.309,1.621,1,0.666752279209034,0.41666666,0,0,0,0,0,1,"right",1,1,1.88927448744572,1.01285604228866,9.96000003814697,2018,1.6006506184645,0.501320631913841,5.0998991722753,4.76865339398086,-0.331245778294436,5.43526592108473,3.03728859750075,0.558892563683584,0.00440445490776524,0.00122751398186763,0.412162562160911,0.000168274777620783,0.000331832848718068,0.000163558071097284,NA,0.692105263157895,2,8.7284060185923
"27","COM",0,0,0,1,2016,2021,1242.58568214864,0.421,0.282,-0.101,0,9,0.743,0.689,0.501,0.362,0,-1.00689345503019,NA,0.125,0.125,0,0,2,0,"no change",1,1,-2.27695071483737,-0.46527893172582,NA,2018,0.31237910327974,0.470871413538449,1.46739319479997,1.89824806442619,0.430854869626221,0,0,1,0.0133421568062472,0.20291141873636,14.2176258069874,0.000585985274027206,0.00121715093422084,0.000631165660193633,NA,NA,4,7.12494971506896
"28","COG",1,0,1,1,2017,2021,2447.53930825728,0.247,0.181,-0.003,0,-4,0.423,0.46,-0.483,-1.773,1,-0.790217920332719,0.25,0.25,0.2,1,0,3,3,"no change",1,0,-10.2397571028887,-2.61495233462033,NA,2018,0.613992585944184,0.486705230457993,40.4689705929506,43.0277217258086,2.55875113285801,33.2974290092699,29.3856072954187,0.882522334228977,0.00333410704274449,0.012887006369058,3.20412168691255,0.0000528470646118124,0.000466518800452545,0.000413671735840733,NA,NA,4,7.80283843485068
"29","CRI",1,1,0,1,2016,2020,11642.7780517123,0.908,0.681,-0.005,0,10,0.94,0.927,2.487,1.727,1,1.6245150554703,0.44444445,0.5,0.5,0,0,3,3,"no change",1,0,1.28151371094327,1.60014007285719,10.8100004196167,2018,1.65218405330354,0.450954781036395,1.64999925285415,1.03468647247415,-0.61531278038,0,0,1,0.00917839046067407,0.00403395846854106,0.494573133934153,0.000280528881091126,0.000162735229731463,-0.000117793651359663,NA,NA,2,9.3624413570461
"30","CUB",0,1,1,0,2016,2020,7694.01463710941,0.175,0.103,0.00700000000000001,1,-7,0.028,0.114,-1.566,-1.301,0,-1.84717174812528,0.54166669,1,1,0,0,3,3,"no change",1,0,-0.123773041706542,2.25848146064915,NA,2018,2.20230009386014,0.497414273672557,1.83582428666061,0.718305465847807,-1.11751882081281,1.43616478168869,0.305292509369487,0.213122749229624,0.024360771304273,0.0886742378475436,3.53594284541475,0.0000116413251609336,0.000029371091746095,0.0000177297665851614,NA,NA,2,8.94819798571612
"31","PRK",1,1,0,0,2016,2019,1600,0.085,0.044,-0.001,0,-10,0.021,0.025,-1.847,-3.705,0,-1.96140406566748,0.27777779,0.857,0.857,0,0,3,3,"no change",0,0,NA,NA,NA,2018,0.709208588187231,0.541907298557204,NA,NA,NA,0,0,1,0.0159788257669512,0.0291355399244937,1.77488952051983,0,0,0,NA,NA,6,7.37775890822787
"32","DOM",0,1,1,0,2017,2020,6921.52059432776,0.521,0.324,0.0609999999999999,1,7,0.786,0.783,0.92,1.619,1,0.350479172277259,0.3611111,0.25,0,1,0,2,2,"no change",0,0,3.95840417453633,5.83453748755498,6.17999982833862,2018,2.36375764821923,0.447163347975723,0.744469245862679,0.754274220159035,0.00980497429635674,0,0,1,0.0106812001915259,0.000480963809853734,0.126781819125752,0.000163720714156228,0.000252121730089287,0.000088401015933059,NA,NA,2,8.84239076353733
"33","SWZ",NA,1,1,0,2016,2021,3679.81979771244,0.132,0.129,-0.003,0,-9,0.053,0.511,-0.019,-0.949,1,-0.412966707951372,NA,0,0.25,1,1,0,-999,"no change",0,1,-2.86834317136054,1.55315112546384,NA,2018,0.959275667664665,0.445954126693042,3.49733711499206,3.65721710333024,0.159879988338186,0.133005803179181,0.0930981929394131,0.702194910272605,0.0235115581117917,0,0.0407970801137661,0,0,0,NA,NA,4,8.21061906195108
"34","ETH",1,1,1,1,2017,2021,640.541923075422,0.223,0.085,0.091,1,-3,0.274,0.24,-0.921,-0.875,1,-1.14633005615821,0.55555558,0.222,0.2,1,0,0,0,"no change",1,0,3.3952700661372,5.60436973620631,NA,2018,0.149050931014413,0.510866236976164,19.8470538763485,6.72543360821071,-13.1216202681378,0.00174838096983736,0,0.363850576384676,0.00100558723890658,0.00208040374757171,1.53591112259524,0.000411027856271065,0.000905849488603006,0.000494821632331941,0.767,0.456910569105691,4,6.46231457286446
"35","EU",1,1,0,1,2016,2020,44178.0473777432,0.838703703703704,0.609814814814815,-0.0242962962962964,0,NA,0.889333333333333,0.865481481481482,1.99503703703704,2.43051851851852,1,1.22452879636578,0.91666669,1,0,1,0,3,3,"no change",1,0,NA,NA,NA,2018,6.5956269112759,0.372582699365945,0.536817999794537,0.338592820019154,-0.198225179775383,0.30572780323526,0.0974974456255219,0.321123304071573,0.00038457201647675,0.0000495027195927142,0.757997927954178,0,0,0,NA,NA,5,10.6959832790246
"36","FJI",1,1,0,1,2016,2020,5390.71420703085,0.406,0.197,0,1,2,0.698,0.671,0.333,0.861,1,-0.126776133041385,NA,0.125,0,1,0,0,0,"no change",1,0,-1.16876751454872,3.10381043650811,NA,2018,2.15056197580052,0.460279589760889,1.28220401118146,1.0843051430437,-0.197898868137759,0,0,1,0.0292561525661176,0.0550479466680548,1.85244791272041,0.000143687286530969,0.000381109765299593,0.000237422478768624,NA,NA,9,8.59243316106755
"37","GMB",1,1,0,0,2016,2021,660.723571244322,0.247,0.143,0.252,1,-5,0.504,0.254,-1.576,-0.483,1,-1.67887217708447,0.5,0,0,0,0,0,0,"no change",1,0,-3.06327524806795,3.09684344959481,NA,2018,0.249989912687734,0.474356283492874,3.377826313707,4.52624305926657,1.14841674555956,0,0,1,0.00359280347100483,0.00257768258369732,0.778975762033766,0.00256878627493907,0.00273714529275805,0.000168359017818982,NA,NA,4,6.49333555456765
"38","GEO",1,0,0,1,2017,2021,4014.18594419329,0.713,0.473,-0.0649999999999999,0,7,0.906,0.839,1.323,3.258,0,-0.672733437166545,NA,0.091,0.111,1,1,0,0,"no change",1,0,-6.82443263205032,5.16261881694761,11.7299995422363,2018,2.53854169098541,0.405797569441947,0.666266066769377,0.361358735289325,-0.304907331480053,0.12473412078966,0.0410488649413505,0.334426841952422,0.00196890877410766,0.000509411447732994,0.508406139284851,0.00108027692753945,0.00210164632898451,0.00102136940144506,NA,NA,1,8.29758985219799
"39","GHA",0,1,0,0,2016,2021,1705.57508204519,0.738,0.377,-0.075,0,8,0.911,0.857,1.285,3.014,0,-0.688181223880436,0.5138889,0.25,0.2,1,0,3,1,"right",1,1,-1.70251702105996,4.22918126352458,NA,2018,0.541201382411755,0.444292597895036,11.3933089222373,9.46491197704783,-1.92839694518947,3.32350489426535,2.78116916258239,0.83686721814774,0.00870665774045299,0.0048204135635203,0.599631069638257,0.000205549242638511,0.000394580496795921,0.00018903125415741,0.822,NA,4,7.44165762436972
"40","GRD",0,1,0,1,2016,2020,9096.53865246322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,1,"no change",1,0,0.238209642532624,3.76129237119484,NA,2018,2.69181419303897,0.381918384296782,0,0,0,0,0,1,0.195813820292608,0,0.00508094400338998,0.000201403495350001,0.000273065328119977,0.0000716618327699755,NA,NA,10,9.11564925228555
"41","GIN",1,1,1,1,2016,2021,769.255475433161,0.378,0.249,-0.099,0,4,0.661,0.786,1.251,0.59,1,0.619595877661366,0.3611111,0,0,0,0,0,0,"no change",1,0,4.0431629902353,2.69338419991574,NA,2018,0.25132323293185,0.435558777595587,15.2488700554049,14.2417083908969,-1.00716166450792,0,0,1,0.00183961957737834,0.00101117424782908,0.708254818304178,0.00013646355534237,0.000695103651648531,0.000558640096306161,NA,NA,4,6.64542313206198
"42","GNB",NA,1,1,0,2018,2021,603.399381547733,0.519,0.229,0.038,1,6,0.759,0.782,1.513,1.11,1,0.832612726031868,0.41666666,0.667,0.667,0,0,3,3,"no change",1,0,-4.73491375422959,1.96420146424497,NA,2018,0.165394727856314,0.504926610720525,17.6259651651133,9.04442010270324,-8.58154506241001,0,0,1,0.0068123118472495,0,0.128003082768908,0.00148336479268015,0.00293166643122142,0.00144830163854127,NA,NA,4,6.40257930177868
"43","HND",1,1,0,1,2016,2021,2302.20441093316,0.442,0.276,-0.049,0,7,0.814,0.792,1.078,0.904,1,0.478939714424355,0.40972224,0,0,0,0,1,1,"no change",1,0,-10.4215011539207,0.982661679905576,10.6800003051758,2018,1.01903275747031,0.445378109572176,1.82290207645441,1.45088814578814,-0.372013930666272,0,0,1,0.015727133650203,0.0878585996182937,5.31224305828483,0.000531339710222217,0.000438058914964321,-0.0000932807952578953,NA,NA,2,7.74162238244349
"44","ISL",1,0,0,1,2016,2021,52951.6815110898,0.863,0.642,-0.031,0,NA,0.904,0.962,2.407,2.881,1,1.55947174299076,0.91666669,0,0,0,0,2,3,"left",1,1,-8.00918540956167,0.206935274875605,5.48000001907349,2018,6.23722432177273,0.448202503396635,0.000067760655325475,0.000200645846117977,0.000132885190792502,0,0,1,0.000310317495924746,0,0.763173813301072,0,0,0,NA,NA,5,10.8771351071087
"45","IDN",0,1,0,0,2016,2021,3331.69511469189,0.655,0.443,-0.0700000000000001,0,9,0.767,0.918,2.491,1.551,1,1.62776722109427,0.5138889,0,0,0,0,0,0,"no change",1,0,-3.10714219034654,3.87144414151346,4.25,2018,2.17846155349724,0.517932425996539,7.32220259827306,3.2824468809598,-4.03975571731327,4.55179950223411,1.95471981009173,0.429564229466295,0.000968775582701794,0.000891335908211103,0.960666073283772,0.000121498998784524,0.000126491784746223,0.000004992785961699,0.637,NA,7,8.11123649690684
"46","ISR",1,1,0,1,2016,2021,35813.7134069142,0.731,0.473,0.00800000000000001,1,6,0.802,0.805,0.869,1.155,1,0.30901406057155,0.78472221,0,0,0,0,1,1,"no change",1,0,-3.86399947293295,1.81135890882076,4.32999992370605,2018,6.97640383662809,0.283785899019191,0.104741664320579,0.148480334616897,0.0437386702963181,0.16397739938683,0.089565177435073,0.548955055490483,0.0129244789394105,0.000000569605832763727,0.0718568795418871,0,0,0,0.792,NA,3,10.4860861551006
"47","JAM",1,1,0,1,2017,2020,4907.927415189,0.818,0.555,-0.001,0,9,0.912,0.871,1.366,2.396,1,0.713095639350708,0.52083331,0,0,0,0,1,1,"no change",0,0,0.432912116838111,1.40370907994962,4.98999977111816,2018,2.89963415544152,0.447556690928628,2.58819709479278,0.98413952429584,-1.60405757049694,0,0,1,0.0338061438945444,0,0.0287305598410958,0.00004410074634778,0.000329785254985864,0.000285684508638084,NA,NA,10,8.49860701664015
"48","JPN",1,1,0,1,2016,2021,34960.6393843385,0.825,0.537,0.01,1,10,0.902,0.718,1.248,1.942,1,0.617156753443383,0.83333331,0,0,0,0,0,0,"no change",1,0,-4.26028956099367,0.480088200168893,2.79999995231628,2018,8.7422577098865,0.519500569175998,0.0189531146483076,0.0473905884896089,0.0284374738413012,0.00810960638607033,0.00558147074417502,0.722475863966951,0.000347888819099923,0.00190513272885158,2.15532074135872,0,0,0,NA,0.336289726533629,6,10.4619781186279
"49","JOR",1,1,0,1,2016,2021,4164.10876894014,0.248,0.115,0.01,1,-3,0.568,0.651,0.609,0.445,1,0.097623295013037,0.52777779,0.143,0.333,1,1,0,0,"no change",0,0,-2.53019323476023,0.579046462795702,19.2099990844727,2018,2.47859527268662,0.28853503033662,0.922182092042446,0.686336234838057,-0.235845857204389,0.0394426637311361,0.00890220851748564,0.244845606197351,0.000483269396441699,0.00000321113557595028,0.676351266993448,0.000527503950657817,0.00144790686903468,0.000920402918376865,0.734,0.474646716541978,3,8.33425755065695
"50","KEN",1,1,1,1,2016,2020,1336.88326508851,0.503,0.34,-0.041,0,9,0.81,0.785,0.476,0.893,1,-0.0105112119842025,0.5138889,0,0,0,0,0,1,"right",1,1,2.62208684536643,3.22142919254497,5.01000022888184,2018,0.358028407608337,0.508317476778128,4.2173381627721,1.9149458890191,-2.302392273753,0,0.00547325582725883,6.47325582725883,0.0022965963016151,0.00241236692165704,1.03511822784768,0.000647762904419035,0.000816840109605261,0.000169077205186227,0.778325123152709,NA,4,7.19809626221196
"51","KWT",NA,0,1,0,2018,2021,29869.552753237,0.315,0.09,-0.017,0,-7,0.11,0.462,-0.138,0.203,1,-0.509718635264691,0.52777779,0,0,0,0,0,0,"no change",0,0,-10.0427425000043,-1.23785408626549,NA,2018,21.6227243085731,0.397463157850205,43.1932842828026,43.65989669704,0.466612414237417,46.604469228661,29.1063801886726,0.624548592051776,0.0000584707444553655,0,0.944759224795153,0,0,0,NA,NA,3,10.3045949379892
"52","KGZ",1,1,0,1,2020,2021,1121.08283510739,0.399,0.233,0.022,1,NA,0.684,0.537,0.396,0.427,1,-0.0755545244637451,NA,0.333,0.333,0,0,0,0,"no change",1,0,-10.3345304287768,2.43933520707868,4.63000011444092,2018,1.73973556019485,0.325863608353138,3.44865335044757,NA,NA,0.455662556603598,0,0.00218980073040681,0.000794137262969951,0,0.55737095518803,0.000834623890648802,0,-0.000834623890648802,NA,NA,1,7.02205031428272
"53","LAO",NA,1,1,0,2016,2021,2134.71306235123,0.092,0.1,0.041,1,-7,0.047,0.188,-1.472,-1.194,1,-1.59431587086106,NA,0.833,1,1,1,3,3,"no change",1,0,-0.962611713840786,3.86974764056176,NA,2018,2.66090849278722,0.393776819969432,8.59875867451295,4.04304633013235,-4.5557123443806,0.181612932555744,0,0.00547606342006879,0.0318878969532937,0.0186473897787111,0.597404869232402,0.000507844867314235,0.000301332596350962,-0.000206512270963273,NA,NA,7,7.66608751960545
"54","LBN",1,1,0,1,2020,2021,7644.54514657966,0.458,0.263,-0.003,0,NA,0.736,0.748,0.277,0.737,1,-0.172306451777064,0.44444445,0,0,0,0,2,2,"no change",0,0,-21.1160044260512,-7.1071537327247,NA,2018,4.03970721671608,0.332050982243598,0.00528211658403945,NA,NA,0,0,1,0.0240963701024196,0,0.0398463999342912,0.000170963943883669,0,-0.000170963943883669,0.782,NA,3,8.94174761974288
"55","LBR",1,1,1,0,2018,2021,710.384016560869,0.612,0.334,0.012,1,7,0.87,0.916,1.311,1.85,1,0.668378362021023,0.23842593,0,0.333,1,1,0,0,"no change",0,0,-5.29058563628975,-4.80612732385613,NA,2018,0.273917114341304,0.488170925525536,22.4290344925093,13.2391948176239,-9.18983967488543,0,0,1,0.0622742885448745,0,0.0158042077279272,0.00254286848265617,0.00183060386130034,-0.000712264621355829,NA,NA,4,6.56580569221436
"56","MWI",NA,1,1,0,2017,2021,380.596987683774,0.546,0.355,0.072,1,6,0.86,0.794,1.533,1.596,1,0.848873554151753,0.5324074,0.286,0,1,0,1,1,"no change",1,0,-1.84096783778082,2.69981228160685,0.910000026226044,2018,0.0865337262442186,0.493184356571379,9.00465323265458,7.46733806999036,-1.53731516266422,0.0421377290836744,0.0168268332548539,0.413253864622199,0.00540201578941683,0.0089808884927286,1.55902278610871,0.00142524333469418,0.000829909407591246,-0.000595333927102932,NA,NA,4,5.94174104017958
"57","MYS",0,0,1,1,2016,2021,9955.24272167626,0.318,0.224,0.095,1,5,0.634,0.718,0.292,-0.071,1,-0.16011083068715,0.6111111,0,0,0,0,0,0,"no change",1,0,-6.86027342704296,3.0608088603617,4.53999996185303,2018,7.6002204133699,0.442959989356779,12.1837058584669,6.44411853887924,-5.73958731958762,6.33124855712693,3.68904356666953,0.582738269570356,0.000752636769490151,0.000263602629221099,0.720972337918419,0.0000021506696558797,0.00000297571077297465,0.000000825041117094949,0.698,NA,7,9.20585459808718
"58","MDV",1,1,0,0,2016,2020,9033.45972427115,0.358,0.223,0.239,1,NA,0.612,0.404,-0.414,-0.104,1,-0.734118063319113,NA,0,0.286,1,1,0,1,"right",1,1,3.81320120539183,4.07540942819782,4.55999994277954,2018,3.70367497634302,0.722357733729787,0.00873697451504271,0.00429682994571823,-0.00444014456932449,0,0,1,0.0271817899401519,0.000847526259188597,0.0655574490872327,0.000430604782459364,0.000305692888136622,-0.000124911894322742,NA,NA,8,9.10869070971853
"59","MLI",1,0,0,1,2016,2021,751.47288662264,0.529,0.318,-0.275,0,5,0.791,0.861,2.096,0.961,1,1.30661586572653,0.27777779,0,0,0,0,0,0,"no change",1,0,-4.12662576286982,1.66395525277679,3.52999997138977,2018,0.294583927721055,0.525089258062733,6.31697317480742,6.49639769076326,0.179424515955843,0,0,1,0.00058681191295575,0.000261101659528752,0.794739218449464,0.000455489353901891,0.000933509161161828,0.000478019807259937,NA,NA,4,6.62203512953038
"60","MHL",1,0,0,0,2016,2020,3199.88684631989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,5.95717198589657,2.93818083190456,NA,2018,3.25275628295556,0.586987166809118,0,0,0,0,0,1,0.0234895759098019,0,0.0408337001703551,0.00115873679390585,0.00900991575821246,0.00785117896430661,NA,NA,9,8.07087072763759
"61","MRT",1,0,0,1,2017,2021,1524.07175254803,0.392,0.177,-0.00700000000000001,0,-2,0.516,0.544,0.64,0.13,1,0.12282757859886,NA,0.167,0.4,1,1,0,0,"no change",1,0,-4.38235525118915,2.89992206394601,NA,2018,0.908407126272224,0.363758416466013,10.1409311236745,8.37992821959218,-1.76100290408229,1.80014002415247,0.150729004161448,0.0842405377298992,0.00225199024113949,0.00293044691714973,1.20862814021622,0.000290229744997506,0.000355367739876051,0.0000651379948785448,NA,NA,4,7.32914081686271
"62","MUS",1,0,0,1,2016,2021,9260.44730250635,0.786,0.498,-0.193,0,10,0.895,0.806,1.848,1.657,1,1.10498159703995,NA,0.5,0.4,1,0,0,0,"no change",1,0,-14.8966374554128,2.97917002128392,8.63000011444092,2018,3.26404031287368,0.484726712434878,0.0123352475478973,0.00294355372107788,-0.00939169382681947,0,0,1,0.000775859971415913,0.0118548679644322,7.23867206386937,0.000507783832521736,0.000256068483398009,-0.000251715349123727,NA,NA,4,9.13350763127989
"63","MEX",0,1,0,0,2016,2020,9616.64555810607,0.636,0.39,0.011,1,8,0.79,0.618,0.243,1.266,1,-0.19994985958087,0.3912037,0,0.167,1,1,2,3,"left",1,1,-1.26011567224396,1.05031421707116,3.48000001907349,2018,3.74147772536983,0.487395913866535,4.15174031595372,2.39760526165978,-1.75413505429394,4.35123677428344,1.46733283441127,0.337374299828395,0.00211375356036756,0.0000918124277550629,0.35064188818661,0.0000421794850480141,0.0000916717388924168,0.0000494922538444028,0.771,0.545715928694652,2,9.17125078826809
"64","MDA",1,0,0,0,2017,2020,2732.45711293733,0.523,0.334,0.096,1,9,0.738,0.712,1.354,1.005,0,-0.660131295373633,0.41666669,0.125,0.333,1,1,0,0,"no change",0,0,5.36569849707125,6.10943256779568,5.09999990463257,2018,3.17183206349277,0.335970133088244,0.242670949061403,0.246739082330561,0.00406813326915828,0.0385236662160476,0.00570698702854498,0.169695467821297,0.0459130368561075,0.0010244002380511,0.0431521891081231,0.00111069315188013,0.000770741247112492,-0.000339951904767634,NA,NA,1,7.91295652475363
"65","MCO",1,0,0,1,2016,2020,165989.505113832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,0,6.12377017891215,5.16191339520333,NA,2018,NA,0.431671762138217,0,0,0,0,0,1,0,0,1,0,0,0,NA,NA,5,12.0196798431342
"66","MNG",1,0,1,0,2016,2020,3918.58701514963,0.671,0.368,-0.023,0,10,0.857,0.745,1.177,1.582,0,-0.732085459804127,0.54166663,0,0.143,1,1,0,0,"no change",1,0,3.80294008233133,5.82715120700583,9.27000045776367,2018,6.72509805331754,0.267115029166043,14.7395807062726,16.2110841122043,1.47150340593175,13.8088946687446,7.12429627569981,0.515955874147704,0.0578743930132197,0.0101802591811122,0.189900202938853,0.000694311262384149,0.00227921366602745,0.0015849024036433,NA,NA,1,8.2734864124859
"67","MNE",1,0,0,1,2017,2021,6517.16375162528,0.445,0.308,0.051,1,9,0.826,0.78,1.895,1.043,1,1.14319454312168,NA,0,0,0,0,NA,NA,NA,1,0,-15.2084745840286,4.09623694324546,17.8799991607666,2018,4.0499689020245,0.329459112952334,0.670439572193956,1.17800960098467,0.507570028790718,0.341713048571572,0.0744432997094993,0.22013547492267,0.00406298670936352,0,0.197511875381895,0.00127132273901641,0.00192968482203307,0.00065836208301666,NA,NA,1,8.78219455285809
"68","MAR",1,0,0,1,2016,2021,3222.05417836739,0.268,0.178,-0.00700000000000001,0,-4,0.598,0.778,0.946,0.186,1,0.37161824883311,0.55555558,0.333,0.2,1,0,0,0,"no change",0,0,-7.42665148894926,1.3403970411036,NA,2018,1.85072678357202,0.338302258818993,1.46099579589686,1.42671588535085,-0.0342799105460099,0.0104720300923901,0.00323048161688101,0.368764864004957,0.00109560556985048,0.00604023533812802,3.35952310845897,0.000826527431748996,0.000777929844885098,-0.000048597586863898,NA,NA,3,8.0777743787313
